sentence,intent,sub_intent
"Payment gateway not responding.",payment_problem,upi_payment_failure

"There is an issue with bill payment.",payment_problem,bill_pay_issue
"Electricity bill payment failed.",payment_problem,bill_pay_issue
"Cannot pay my utility bill.",payment_problem,bill_pay_issue
"My bill payment is getting declined.",payment_problem,bill_pay_issue
"Trouble processing mobile recharge.",payment_problem,bill_pay_issue
"How do I report bill payment failure?",payment_problem,bill_pay_issue
"Bill payment unsuccessful.",payment_problem,bill_pay_issue
"Recharge failing every time.",payment_problem,bill_pay_issue
"Payment failed for my mobile bill.",payment_problem,bill_pay_issue
"Can't pay gas bill through app.",payment_problem,bill_pay_issue

"How long will my refund take?",payment_problem,refund_status
"Where can I check refund status?",payment_problem,refund_status
"My refund has not been processed.",payment_problem,refund_status
"I want to track my refund.",payment_problem,refund_status
"Refund not credited yet.",payment_problem,refund_status
"Status of my failed transaction refund.",payment_problem,refund_status
"Check refund for canceled payment.",payment_problem,refund_status
"When will I receive my refund?",payment_problem,refund_status
"How to know refund progress?",payment_problem,refund_status
"Help me with refund queries.",payment_problem,refund_status

"I noticed a suspicious transaction today.",fraud_risk,report_suspicious_activity
"There's suspicious activity in my account.",fraud_risk,report_suspicious_activity
"I think someone has hacked my account.",fraud_risk,report_suspicious_activity
"How do I alert about possible fraud?",fraud_risk,report_suspicious_activity
"Who do I contact for a scam report?",fraud_risk,report_suspicious_activity
"Transaction on my account looks fake.",fraud_risk,report_suspicious_activity
"Help me with reporting unauthorized use.",fraud_risk,report_suspicious_activity
"I believe my data is compromised.",fraud_risk,report_suspicious_activity
"Report identity theft issue.",fraud_risk,report_suspicious_activity
"Suspicious deduction from my balance.",fraud_risk,report_suspicious_activity

"How can I freeze my account?",fraud_risk,freeze_account
"I want to lock my bank account.",fraud_risk,freeze_account
"Put a temporary hold on my account.",fraud_risk,freeze_account
"How do I prevent transactions till further notice.",fraud_risk,freeze_account
"Freeze all activity right now.",fraud_risk,freeze_account
"How do I suspend account activities?",fraud_risk,freeze_account
"I suspect fraudulent transactions; freeze account.",fraud_risk,freeze_account
"Can you block access to my account?",fraud_risk,freeze_account
"Stop all withdrawals immediately.",fraud_risk,freeze_account
"Help me freeze account after suspicious activity.",fraud_risk,freeze_account

"Tips on keeping my account secure.",fraud_risk,get_security_advice
"How do I prevent banking fraud?",fraud_risk,get_security_advice
"Best practices for online security.",fraud_risk,get_security_advice
"Guide me to set up extra security.",fraud_risk,get_security_advice
"How to keep digital accounts safe?",fraud_risk,get_security_advice
"Help me with security recommendations.",fraud_risk,get_security_advice
"Provide advice on account protection.",fraud_risk,get_security_advice
"How to avoid identity theft?",fraud_risk,get_security_advice
"What are common fraud warning signs?",fraud_risk,get_security_advice
"Suggest ways to secure financial data.",fraud_risk,get_security_advice

"Goodbye! Talk to you later.",goodbye,goodbye_general
"See you soon, goodbye!",goodbye,goodbye_general
"Thanks, signing off now.",goodbye,goodbye_general
"Bye, have a great day!",goodbye,goodbye_general
"Goodbye! Thanks for helping.",goodbye,goodbye_general
"Talk later, goodbye.",goodbye,goodbye_general
"I'm done, goodbye!",goodbye,goodbye_general
"Goodbye, take care.",goodbye,goodbye_general
"Signing out now, bye!",goodbye,goodbye_general
"Thanks, bye for now.",goodbye,goodbye_general

"Tell me about your insurance policies.",insurance_info,insurance_policy_inquiry
"What types of insurance do you offer?",insurance_info,insurance_policy_inquiry
"I want information on policy coverage.",insurance_info,insurance_policy_inquiry
"Explain insurance options available.",insurance_info,insurance_policy_inquiry
"Can you guide me on health insurance?",insurance_info,insurance_policy_inquiry
"Details on car insurance please.",insurance_info,insurance_policy_inquiry
"Information about life insurance policies.",insurance_info,insurance_policy_inquiry
"I have questions about insurance plans.",insurance_info,insurance_policy_inquiry
"Help me understand policy terms.",insurance_info,insurance_policy_inquiry
"What insurance coverage is best?",insurance_info,insurance_policy_inquiry

"How can I file an insurance claim?",insurance_info,insurance_claim_help
"What is the process for claim settlement?",insurance_info,insurance_claim_help
"Help me with filing a claim.",insurance_info,insurance_claim_help
"Claim status check please.",insurance_info,insurance_claim_help
"How long to settle an insurance claim?",insurance_info,insurance_claim_help
"I need assistance with my claim.",insurance_info,insurance_claim_help
"Documents needed for claim?",insurance_info,insurance_claim_help
"Can I file a claim online?",insurance_info,insurance_claim_help
"Explain the claim procedure.",insurance_info,insurance_claim_help
"Guide me through insurance claim steps.",insurance_info,insurance_claim_help

"What is my insurance premium?",insurance_info,insurance_premium_query
"How is premium calculated?",insurance_info,insurance_premium_query
"Tell me about premium payment options.",insurance_info,insurance_premium_query
"When is my premium due?",insurance_info,insurance_premium_query
"Help me with premium details.",insurance_info,insurance_premium_query
"Can I change my premium plan?",insurance_info,insurance_premium_query
"What happens if I miss a premium payment?",insurance_info,insurance_premium_query
"Notification for premium payment.",insurance_info,insurance_premium_query
"Explain types of premiums.",insurance_info,insurance_premium_query
"Are there discounts on premiums?",insurance_info,insurance_premium_query

"Hi there, can you help me?",greeting,greeting_general
"Hello! Need some assistance.",greeting,greeting_general
"Is anyone available to chat?",greeting,greeting_general
"Good morning, I have a question.",greeting,greeting_general
"Hey, can you assist me?",greeting,greeting_general
"Hello there, what can you do?",greeting,greeting_general
"Hi, I need support right now.",greeting,greeting_general
"Greetings! Are you online?",greeting,greeting_general
"Good afternoon, assistant.",greeting,greeting_general
"Hey, quick question for you!",greeting,greeting_general

"I need help resetting my account password.",account_management,account_password_reset
"How do I change my online banking password?",account_management,account_password_reset
"My password is not working, need reset.",account_management,account_password_reset
"Failed login, password reset instructions please.",account_management,account_password_reset
"I forgot my internet banking password.",account_management,account_password_reset
"Guide me to update account password.",account_management,account_password_reset
"Help with password recovery for my account.",account_management,account_password_reset
"Changing password for my bank profile.",account_management,account_password_reset
"How to reset my net banking password?",account_management,account_password_reset
"Need to update password, can't login.",account_management,account_password_reset

"Show me my account statement for last month.",account_management,account_statement
"How can I get my bank statement?",account_management,account_statement
"Download account statement as PDF.",account_management,account_statement
"Where to check transaction history?",account_management,account_statement
"View recent statement for my savings account.",account_management,account_statement
"Request bank statement for past year.",account_management,account_statement
"Need statement for my checking account.",account_management,account_statement
"Show all debits and credits in statement.",account_management,account_statement
"Statement for account activity.",account_management,account_statement
"How to get e-statement via app?",account_management,account_statement

"I want to update my registered mobile number.",account_management,account_update_mobile
"Change phone number on my bank profile.",account_management,account_update_mobile
"How to update mobile number for alerts?",account_management,account_update_mobile
"Update contact number linked to account.",account_management,account_update_mobile
"My mobile number changed, update profile.",account_management,account_update_mobile
"Can I change mobile number online?",account_management,account_update_mobile
"Help me alter registered phone number.",account_management,account_update_mobile
"Update mobile number for OTPs.",account_management,account_update_mobile
"Need to modify my contact number.",account_management,account_update_mobile
"How do I change my phone number quickly?",account_management,account_update_mobile

"How do I initiate a loan application online?",loan_info,loan_apply_steps
"What documents do I need for loan application?",loan_info,loan_apply_steps
"Can you help me set a personal budget?",budgeting,budget_planning
"How often should I review my budget plan?",budgeting,budget_planning
"What are simple ways to save money?",budgeting,saving_tips
"Give me tips for saving on groceries.",budgeting,saving_tips
"How do I save for a big purchase?",budgeting,saving_tips
"Suggest budget hacks for saving more.",budgeting,saving_tips
"What's the 50/30/20 rule for saving?",budgeting,saving_tips


"What’s the best app for expense tracking?",budgeting,expense_tracking
"How can I keep records of daily expenses?",budgeting,expense_tracking
"Share basic expense tracking methods.",budgeting,expense_tracking
"Is there a tool to organize my spending?",budgeting,expense_tracking
"How do I split expenses with friends?",budgeting,expense_tracking
"How can I check where my money goes?",budgeting,expense_tracking


"How is the interest calculated on my loan?",loan_info,loan_interest_info
"Do loans have different types of interest rates?",loan_info,loan_interest_info
"What is the annual percentage rate for loans?",loan_info,loan_interest_info
"Can you explain floating vs fixed loan interest?",loan_info,loan_interest_info
"Why did my loan interest increase?",loan_info,loan_interest_info
"How often is interest on my loan calculated?",loan_info,loan_interest_info
"What factors affect my loan interest?",loan_info,loan_interest_info


"How do I download my loan statement?",loan_info,loan_statement
"Can I get an annual statement for my loan?",loan_info,loan_statement
"Show me details of my recent loan payment.",loan_info,loan_statement
"I want to verify loan repayment dates.",loan_info,loan_statement
"Send me a PDF of my loan account statement.",loan_info,loan_statement
"Is there an email option for loan statements?",loan_info,loan_statement
"How do I view my loan's payment history?",loan_info,loan_statement
"Where can I find my outstanding loan balance?",loan_info,loan_statement
"Show interest paid in my last loan statement.",loan_info,loan_statement

"What criteria determine my loan eligibility?",loan_info,loan_eligibility_check
"Am I eligible for a personal loan?",loan_info,loan_eligibility_check
"What documents are needed for eligibility check?",loan_info,loan_eligibility_check
"Is there an online loan eligibility calculator?",loan_info,loan_eligibility_check
"Check my eligibility for auto loan.",loan_info,loan_eligibility_check
"How does credit score affect eligibility?",loan_info,loan_eligibility_check
"What’s the minimum income to qualify for a loan?",loan_info,loan_eligibility_check
"Do existing loans impact eligibility for new ones?",loan_info,loan_eligibility_check
"Can I appeal if my loan eligibility was rejected?",loan_info,loan_eligibility_check
"Am i eligible for a loan",loan_info,loan_eligibility_check
"Can i get a home loan",loan_info,loan_eligibility_check
"Check my loan eligibility",loan_info,loan_eligibility_check
"Personal loan eligibility",loan_info,loan_eligibility_check


